airport san_bay
beautiful xinh_dep
bedroom giuong
brother anh_trai
cat meo
chicken ga
computer may_tinh
data_base co_so_du_lieu
entertainment giai_tri
environment moi_truong
fish ca
flower bong_hoa
fly bay
foot ngon_chan
friendship tinh_ban
gasoline xang_dau
good tot
good_boy trai_tot
government chinh_phu
happy hanh_phuc
hometown que_huong
honey mat_ong
hospital benh_vien
housework viec_nha
jewelry trang_suc
job cong_viec
kitchen bep
love tinh_yeu
massage mat_xa
mid_autumn trung_thu
nautilus oc_anh_vu
otter rai_ca
personal ca_nhan
plain dong_co
plane may_bay
sea bien
sheep cuu
ship tau_thuy
shopping mua_sam
sibling chi_em
sister chi_em
the_number so_dem
tiger ho
travelling du_lich
wedding le_cuoi
